User_ID,h_linear,h_dB
315,4.5544942823459865e-09,-119.99990991341389
316,2.9537216107973123e-09,-119.99996211026762
317,3.4098208526435075e-09,-119.99994950540291
318,1.7598944831039768e-09,-119.99998654892795
319,1.2144787823710202e-08,-119.99935948080578
320,8.094980689230078e-09,-119.99971542174208
321,3.3114773247140095e-09,-119.99995237604038
322,6.95124565702249e-10,-119.99999790149757
323,1.2130787755676024e-09,-119.99999360910031
324,3.193067598452555e-09,-119.99995572094711
325,7.089032801734143e-10,-119.99999781748029
326,6.2182747646424945e-09,-119.99983207485526
327,2.4066295617178818e-09,-119.99997484631906
328,5.690325549097648e-09,-119.9998593785709
329,1.349632054168717e-09,-119.9999920893042
330,2.0351212798613507e-09,-119.99998201278181
331,9.044273279657532e-09,-119.99964476651022
332,2.475982005255118e-09,-119.99997337571534
333,7.421749959577979e-10,-119.99999760780362
334,1.71024268065366e-09,-119.99998729720888
335,1.5091311451543661e-09,-119.99999010905513
336,1.9571286003363153e-09,-119.99998336502293
337,1.966781925168875e-09,-119.9999832005181
338,2.0286353554506896e-09,-119.9999821272493
339,1.0915553259877635e-09,-119.9999948254146
340,5.966851277026323e-09,-119.9998453795237
341,2.5408139083836674e-08,-119.99719721437998
342,1.6639386297798525e-08,-119.99879773887179
343,1.8556977360569547e-09,-119.9999850445998
344,2.0977952061515062e-08,-119.99808920126486
345,2.510395517328223e-09,-119.99997263047601
346,4.379099904381536e-08,-119.99167972008273
347,1.2715825880090773e-07,-119.93033962917823
348,6.491680414956181e-09,-119.99981698384659
349,5.507238431605813e-09,-119.99986828189195
350,1.1019774474352547e-08,-119.99947264464993
351,9.831387790049868e-09,-119.99958024780382
352,3.5871561960019427e-09,-119.99994411669377
353,4.0311004143830136e-09,-119.99992942871656
354,1.449040495414544e-09,-119.9999908810486
355,1.5236144860716051e-09,-119.9999899182948
356,2.2994219312614525e-09,-119.99997703742956
357,3.2052692432660703e-10,-119.99999955381669
358,3.79109987040454e-09,-119.99993758174242
