User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,ring_assignment,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
98,-590.8719919115774,657.9846654824379,884.3492131706744,2.302506839386362,0,136.88689874797362,2.0479065035869237e-14,-2.4740906974225068,1.0081018879391428,1.9180681134351217e-07,-119.84309261917886
99,41.76018672852278,-268.4204152337688,271.649466242564,-1.4164560901140544,0,108.97458936595207,1.266312994256302e-11,-10.766860983369682,0.4530920808319982,5.5692928180270815e-06,-104.94619058894472
100,-1072.7635595722475,745.1924445420328,1306.1904279807939,2.5344680618558924,0,143.77863964374853,4.189247658822283e-15,0.7743538682291576,1.9233001877499396,1.1386687408417659e-07,-119.94405275022542
101,1810.3384000115877,1021.9312439754989,2078.862330691916,0.5139054461885987,0,145.32721163349936,2.932775615156088e-15,-15.783690481476636,0.9150775070963751,3.0498734743619395e-07,-119.61372971207055
102,-1002.6216150147848,-303.7501515224391,1047.6231466728673,-2.847426219053694,0,131.9462066027514,6.388212286368979e-14,-4.113003173376734,2.989840158099159,1.2133547631974766e-06,-116.06911166210644
103,-707.5425542701023,1857.060857161961,1987.2824392386146,1.934817980155499,0,149.87546551887885,1.0290902134284322e-15,4.4437230859537635,1.3047610061267825,2.509409505432258e-08,-119.99726604926744
104,508.0570124550356,-1612.7416065644657,1690.8747491901552,-1.2656110172469754,0,144.2953762254821,3.719309997116074e-15,-10.079533390874351,1.089011508766938,2.1195337077577835e-07,-119.80915199586576
105,149.46760439277367,927.0645943729276,939.0363820974965,1.4109451725232391,0,132.0997232560057,6.166342941867813e-14,-6.726681206220897,1.6347626777258755,8.806485240198249e-07,-117.50669093442538
106,511.6218381935681,-1117.764187053264,1229.2899101413832,-1.1415419002818512,0,141.1212647131274,7.724556048011557e-15,10.451386374286152,1.0268036573865655,2.7092859982972664e-08,-119.99681334774068
107,-1869.8269065911961,393.5827955025261,1910.8008994994702,2.9341297014707886,0,143.14808057124395,4.843864020240374e-15,4.93370567405612,0.10060906207734115,3.967781864497825e-09,-119.99993162828575
108,1198.3459321903313,-1606.7579915284493,2004.4211674539984,-0.9299783146007219,0,153.16894880297156,4.820644657920009e-16,-12.983099593801642,0.7287852156738471,7.133572729271054e-08,-119.97795572510478
109,1219.9455223007271,-974.9842933760624,1561.685451591201,-0.6742548637354944,0,144.69448092559043,3.3927503771169446e-15,-3.4120756016274503,1.5629473891343781,1.3484166086223832e-07,-119.9217446827528
110,-801.4660747743285,-629.8704337737474,1019.355008010702,-2.47550995326615,0,132.77653069197532,5.276512007780362e-14,3.448160608209137,0.5282101683849538,8.157783819856538e-08,-119.97119369301414
