User1_ID,User2_ID,alpha,R_sum_bitsHz,score
760,355,0.9973762035369873,15.396699827664223,0.838864803314209
1929,601,0.9960588216781616,15.885516541318331,0.8384184241294861
380,267,0.9960317015647888,14.768166530054756,0.8383520841598511
523,244,0.9982544779777527,16.206562471235372,0.838193953037262
1185,1474,0.9967396855354309,15.566825256131574,0.8380411267280579
807,1643,0.9985188841819763,15.770498369681189,0.83803790807724
493,357,0.9952493906021118,15.118102624588193,0.8375625014305115
1931,106,0.995175838470459,14.809452658336806,0.8375527858734131
1147,392,0.9953108429908752,15.60551802918636,0.8374720215797424
275,1747,0.995718777179718,15.354461506102353,0.8371370434761047
754,1445,0.9949771761894226,15.95110878761938,0.8371126651763916
497,277,0.9983172416687012,15.181453150339415,0.8369961977005005
1945,1386,0.9965924620628357,14.770327161370222,0.8369290828704834
1301,1324,0.9974652528762817,15.562140616119574,0.8364347219467163
1574,91,0.9919975399971008,15.11318278068457,0.8362152576446533
846,1911,0.9982845187187195,16.635625055132607,0.8360877633094788
680,1823,0.9986318945884705,16.632153528845084,0.8360041975975037
1090,1541,0.9987506866455078,15.768505121389282,0.8356767892837524
1934,1216,0.9957399368286133,14.516925232723942,0.8354964256286621
272,1160,0.9955092668533325,15.021716340713624,0.8351588845252991
63,1550,0.9967137575149536,15.839430016417406,0.8350961804389954
803,1447,0.9968283772468567,15.177453122374335,0.8350693583488464
1884,1326,0.9966094493865967,15.877278655980774,0.835037887096405
445,1664,0.9971617460250854,15.770622679724386,0.8349765539169312
468,976,0.9980675578117371,15.030115854385503,0.8348986506462097
1749,834,0.997162401676178,15.37958064830988,0.8348976373672485
279,130,0.9973059892654419,14.997965857624884,0.8348081111907959
1710,133,0.9962957501411438,15.275869109885512,0.8346755504608154
1415,503,0.9979020357131958,15.415223465755414,0.8341395854949951
1729,827,0.9966764450073242,14.443317024802763,0.8340230584144592
1797,1191,0.9958860278129578,16.209042074687957,0.833773672580719
352,30,0.9982116222381592,17.884483592111216,0.8335634469985962
1083,1954,0.9974877834320068,15.52025608401617,0.8334667086601257
998,1810,0.9943150877952576,16.100418604343297,0.8334283232688904
271,557,0.9982854723930359,16.802416170518768,0.8332754373550415
199,395,0.9955103397369385,15.815425443650685,0.8332535624504089
1054,947,0.997128427028656,14.94350944423762,0.8327245116233826
1015,109,0.9916069507598877,15.886861629497975,0.832659125328064
1078,1592,0.9989264607429504,16.396610820357566,0.8326525688171387
1625,1793,0.9975977540016174,14.564945785971304,0.8322916626930237
340,1565,0.9961950778961182,16.290857263693294,0.8321134448051453
1428,158,0.9985150694847107,16.51387975659629,0.83176589012146
1052,1514,0.9974276423454285,15.51909940808242,0.8315545916557312
12,40,0.9952688813209534,16.41536082362036,0.8314405083656311
140,1777,0.997164785861969,15.843816774975426,0.8314202427864075
786,1669,0.994469404220581,15.484227915995817,0.8309032320976257
261,796,0.9952991008758545,15.324843758125002,0.8306096792221069
1034,808,0.9973170161247253,17.598321301491488,0.8306087851524353
317,1518,0.9972088932991028,16.645987613372927,0.8305588364601135
658,1222,0.9941856265068054,15.909015900001036,0.8301291465759277
562,455,0.998078465461731,16.32975500845728,0.83002108335495
