User1_ID,User2_ID,alpha,R_sum_bitsHz,score,h1_dB,h2_dB,h_diff_dB,sic_ok,missing_h
1167,1158,0.9975983500480652,15.57294417961296,0.8752515912055969,-102.97759975553775,-85.8179748152544,17.15962494028335,True,False
1030,915,0.9948046803474426,15.608872928045503,0.8747127652168274,-102.26484803467996,-85.84472728117093,16.420120753509025,True,False
876,295,0.9974815249443054,15.700564425756742,0.8733905553817749,-101.56684349097048,-85.13273160793646,16.43411188303402,True,False
257,1215,0.9977643489837646,15.483075799503233,0.8731070160865784,-102.61448099225952,-86.35442627868791,16.260054713571606,True,False
1467,1885,0.9971928000450134,15.919956097139192,0.8730852007865906,-100.88699140941002,-83.8653322297779,17.02165917963211,True,False
570,1765,0.996886909008026,16.02807974622788,0.8727247714996338,-99.62868668319052,-83.27947754625315,16.349209136937375,True,False
799,83,0.9921505451202391,15.931385473711565,0.8723001480102539,-100.15890655705194,-83.98991159177412,16.168994965277818,True,False
1066,19,0.9974210262298584,15.82345024255288,0.8719485402107239,-100.69111412664112,-84.43296250532944,16.258151621311683,True,False
1062,503,0.9982790946960448,15.39981796132378,0.871868908405304,-102.89517355609752,-86.71646326051882,16.178710295578696,True,False
1038,382,0.9947004318237304,15.060742801379268,0.8714073300361633,-105.55168314780884,-89.06822598965584,16.483457158153,True,False
672,109,0.9959994554519652,15.870790208578509,0.8712742328643799,-100.34548895484176,-84.26157648507144,16.08391246977031,True,False
1638,973,0.9966991543769836,15.72858143647924,0.8710948824882507,-101.365327452,-85.04985689774489,16.315470554255114,True,False
95,1538,0.9972840547561646,15.562030445486922,0.8710020184516907,-102.37643780104094,-85.9610851181848,16.41535268285614,True,False
904,616,0.996825098991394,15.800861713195186,0.8709861040115356,-100.6776543791255,-84.62589274225292,16.051761636872584,True,False
648,209,0.9975597858428956,16.20950426040404,0.8695939779281616,-98.93162458917624,-82.14609721657611,16.78552737260013,True,False
1303,273,0.9989946484565736,15.999290559717576,0.8693852424621582,-100.11570406640998,-82.96203587641968,17.1536681899903,True,False
811,1747,0.9965555667877196,15.344844492384414,0.8685010075569153,-104.49395320840692,-87.26119851774699,17.23275469065993,True,False
1991,1565,0.9972774386405944,16.285010206313874,0.8682990074157715,-97.81295356938703,-81.74953518597859,16.063418383408447,True,False
1250,1954,0.9973893761634828,15.529225470693952,0.8682075142860413,-102.24930702317408,-86.15246770482474,16.09683931834934,True,False
1955,117,0.9976450800895692,16.31620989897987,0.8676221370697021,-97.6346738204751,-81.53472445042512,16.099949370049984,True,False
126,1535,0.9974343180656432,15.3628751670359,0.8673875331878662,-103.47636219643124,-87.09282237858449,16.383539817846753,True,False
1107,1151,0.9983335137367249,15.560605251394836,0.867149293422699,-101.8878383182535,-85.7931286981637,16.0947096200898,True,False
261,1164,0.9946830868721008,15.210664677610255,0.8671224117279053,-104.40339210654363,-88.19892656166766,16.204465544875973,True,False
1430,1748,0.996392786502838,15.822421119724234,0.8667992353439331,-101.50390212591398,-84.49919922318568,17.004702902728297,True,False
1082,763,0.995371401309967,15.706981995505265,0.8667423129081726,-102.20978724623376,-85.23115756821964,16.978629678014116,True,False
142,1577,0.9894888997077942,16.23768116965243,0.8661460280418396,-98.4790833453036,-82.18167747809859,16.297405867205,True,False
1627,1429,0.9953376054763794,16.09141577764484,0.865961492061615,-99.36835425195474,-82.9755075350158,16.392846716938948,True,False
282,1048,0.9922983050346376,15.487637313725507,0.8658832907676697,-102.7389996495012,-86.62724719531244,16.11175245418876,True,False
320,407,0.9965952038764954,15.661303692647326,0.8657903671264648,-102.93395094975092,-85.4077365753845,17.52621437436642,True,False
717,1423,0.9959369897842408,15.465695990572408,0.8656589984893799,-104.08650635715354,-86.59856008329203,17.48794627386151,True,False
310,27,0.9971375465393066,16.046136307876115,0.8654991984367371,-99.9922533101264,-83.13894434112095,16.853308969005454,True,False
638,550,0.9947444200515748,15.407165659913073,0.8653208613395691,-103.29058187867577,-87.03988020697392,16.250701671701847,True,False
1872,1473,0.9976466298103333,16.617658978209448,0.8653109073638916,-96.64681078052924,-79.74073923288216,16.906071547647073,True,False
1432,1243,0.9963085055351256,15.757347544417597,0.8652788996696472,-101.42338048357917,-84.90074487387861,16.522635609700558,True,False
1366,1643,0.9934871196746826,15.831932686114774,0.8651191592216492,-101.74766619027406,-84.54422706238441,17.203439127889652,True,False
1185,992,0.9961328506469728,15.603191223087672,0.8650636672973633,-102.40322323291912,-85.81306239113081,16.590160841788304,True,False
761,1191,0.9985154271125792,16.15872425994324,0.8643479943275452,-99.36958046647057,-82.26343556524859,17.10614490122198,True,False
1909,1964,0.9966788291931152,16.391189984603304,0.8638823628425598,-97.48883781723532,-81.15197181435717,16.336866002878153,True,False
245,121,0.996582806110382,15.596225312490088,0.8635604381561279,-102.1650110631736,-85.83192367880442,16.33308738436918,True,False
1397,416,0.9961991906166076,15.615949872479671,0.8634892106056213,-103.15737685283474,-85.70518849442425,17.452188358410496,True,False
1415,240,0.9946236610412598,15.454482795603578,0.8634526133537292,-102.98654784206718,-86.76618746349762,16.220360378569566,True,False
1002,301,0.9986472725868224,17.542043934038823,0.8632494211196899,-95.51887163695524,-74.04408422992952,21.474787407025715,True,False
1813,848,0.9947291016578674,15.772411895367426,0.8628718256950378,-101.03105447270082,-84.88686818515033,16.144186287550482,True,False
1866,1511,0.9933452606201172,15.329427924838107,0.8627946972846985,-104.09069605087076,-87.53349518568345,16.557200865187312,True,False
63,1977,0.996240735054016,15.734474054914775,0.8625966906547546,-101.0995416829514,-85.05289989925997,16.046641783691427,True,False
1780,110,0.9982445240020752,15.85453239318172,0.8624022006988525,-100.59394794255708,-84.11193145145117,16.48201649110591,True,False
1230,1482,0.9972034692764282,15.56421698690026,0.8620384931564331,-102.59887870914676,-85.94749065361383,16.651388055532934,True,False
228,981,0.9957327246665956,15.377176619979965,0.8620299100875854,-103.55467325386144,-87.1666130579168,16.388060195944632,True,False
565,1598,0.9942850470542908,16.341109507273686,0.8616903424263,-97.8343578624941,-81.51783068657414,16.31652717591996,True,False
446,1879,0.9960457682609558,15.400544978118536,0.8612809777259827,-103.19357159244332,-87.01826051149658,16.17531108094674,True,False
1766,1862,0.9971669316291808,15.95168131086654,0.861225962638855,-101.18011715518108,-83.66463687277218,17.5154802824089,True,False
1266,601,0.994989812374115,15.891288699350342,0.86066734790802,-100.60128210179444,-84.16998229769369,16.431299804100746,True,False
1081,191,0.9972195625305176,15.679060527923872,0.8598619699478149,-102.08284046879317,-85.27264785972191,16.81019260907125,True,False
67,558,0.991198480129242,15.19313566688382,0.8594369292259216,-104.4976959457566,-88.39148800523893,16.106207940517677,True,False
1022,1006,0.9960463643074036,15.711697267612289,0.8577058911323547,-101.82613943972493,-85.18007070028352,16.646068739441404,True,False
1944,156,0.9979630708694458,16.093485291774762,0.8572625517845154,-99.32395632415168,-82.78110965857837,16.542846665573308,True,False
1822,296,0.9960606694221495,15.792410935305416,0.8569656610488892,-101.8004624822672,-84.69191318227158,17.10854929999563,True,False
