User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,zone_assignment,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
66,-0.0,-0.0,0.0,4.4058766170652435,0,49.90089552552824,1.0230820085907115e-05,17.525268097831397,1.1894474646539173,0.0005058678554770362,-65.91924135348472
67,0.0,0.0,0.0,0.4491671482151044,0,57.65646735290804,1.715352045359087e-06,0.7319375278620749,0.9556306957936124,0.0011504555597415438,-58.78259977416399
68,-0.0,0.0,0.0,2.1822633078019917,0,66.39627190122059,2.2928350385015572e-07,5.331024489055535,0.5218433009528733,0.00013526184069225547,-77.37625676883997
69,0.0,0.0,0.0,0.5922379325355895,0,67.58147235871775,1.7452303791593035e-07,5.456816859851729,1.2869933633534005,0.0002868546183836313,-70.84671029233303
70,0.0,0.0,0.0,0.8491535790027501,0,63.173827296430595,4.815232597534888e-07,-3.9663764434394304,1.0896514389809078,0.0011937545889084548,-58.46169587112478
71,0.0,0.0,0.0,0.8176457993767796,0,68.13000789077046,1.538151845606192e-07,7.858902107850848,1.2986617397539142,0.0002060869756261483,-73.71888682819974
72,-0.0,0.0,0.0,2.6262445504445155,0,59.149764924374765,1.2162518323421544e-06,16.17943422463971,0.9786269648494972,0.0001675549338178562,-75.51670089838414
73,0.0,0.0,0.0,0.9165033425147581,0,67.90760330396029,1.6189732371759278e-07,13.802677533564502,1.032052939359864,8.47594116061833e-05,-81.43563686101606
74,0.0,0.0,0.0,0.05073247404516442,0,68.86645173847248,1.2982395220949838e-07,0.8796262015890719,1.0783215444394354,0.00035111095923857303,-69.09107706501683
75,0.0,0.0,0.0,0.005851837457013088,0,62.53920251019604,5.572880736844713e-07,-6.517075001614518,1.3543037600019499,0.002140965695973461,-53.387804876832085
76,0.0,-0.0,0.0,5.384540854968538,0,55.599684671722834,2.7544286869340884e-06,-9.950017233859795,0.7220751951583012,0.0037678972783589744,-48.47801860599891
77,0.0,0.0,0.0,0.522518497536308,0,64.5819329798672,3.481823097981154e-07,14.321942681260657,0.9637164479495859,0.0001093340632056435,-79.22452694485087
78,0.0,-0.0,0.0,5.378361126026422,0,64.19518596947282,3.806110590856917e-07,13.667200385257596,0.5082637321861071,6.500844882840752e-05,-83.73957640421777
79,0.0,0.0,0.0,1.0575486543126809,0,68.39577141473791,1.4468478342009569e-07,10.528808692013344,1.000175680550786,0.00011320022369303903,-78.92271539794139
80,-0.0,-0.0,0.0,3.8012382516439946,0,64.22896204214133,3.7766244094587695e-07,-6.820969853531411,0.7345370232771373,0.0009899518720050558,-60.087713943783186
81,-0.0,-0.0,0.0,3.577926009661699,0,57.746350526808065,1.6802153474066223e-06,-10.087749410817672,1.2876661775362783,0.005331792416976045,-45.46253519412196
82,-0.0,0.0,0.0,2.390216450554839,0,58.27845387291541,1.4864647428034301e-06,3.0831754763218053,1.3270088727722327,0.0011344682847497702,-58.904149440915305
83,-0.0,0.0,0.0,3.0894763130030873,0,63.372205697119014,4.600228775784066e-07,-3.419634907245611,0.6087926251837794,0.000612126023699883,-64.26317154296314
84,-0.0,-0.0,0.0,4.424721610557481,0,64.52114871728386,3.5308976451560186e-07,-2.9415260530846394,0.8301737088850616,0.0006921302682029674,-63.1962340901865
85,-0.0,-0.0,0.0,3.3418098679423505,0,65.93186140197156,2.551607440016481e-07,1.3248684092935865,0.5647292564843823,0.00024490846533786986,-72.21985165606213
86,-0.0,0.0,0.0,2.1530076464101677,0,56.82446319798595,2.077560502894868e-06,5.913656959705392,1.003237988280739,0.0007319778861822119,-62.710032679029595
87,-0.0,0.0,0.0,2.8924767333643158,0,61.85997707539576,6.516318337459172e-07,0.7172701150246666,0.91385953747449,0.0006792303593251672,-63.359648802923076
88,-0.0,0.0,0.0,2.546740050742968,0,68.45326462758788,1.4278202506967574e-07,-6.233189490629588,0.9659775798076414,0.0007481062616019688,-62.52072644456145
89,-0.0,-0.0,0.0,4.629365834181088,0,65.12020947436737,3.075948448155026e-07,-28.290088083804374,1.3055633311800974,0.01880580264724972,-34.5141625036684
90,0.0,-0.0,0.0,5.574796809374448,0,50.444932235212434,9.026237913782838e-06,11.281774241465234,1.2885970255203794,0.001056286673708996,-59.52436009373454
91,0.0,-0.0,0.0,5.920002470388916,0,58.10098445985986,1.5484655725480732e-06,1.1670567142934132,0.9086003811730532,0.0009884867584248529,-60.1005784360052
92,0.0,-0.0,0.0,4.8595403081281034,0,55.38677741780157,2.8928256408156715e-06,13.07471153605733,1.216345253473976,0.00045917942200606355,-66.7603310614429
93,0.0,0.0,0.0,0.5152513631116676,0,64.03826164823565,3.9461522321581585e-07,1.4591623488603827,1.0643956811010165,0.000565238719456746,-64.9553483302199
94,-0.0,-0.0,0.0,4.2975238657170225,0,63.53965935877826,4.426230883820443e-07,4.875284115273351,0.5202750421199764,0.0001974630402412477,-74.0901722330704
95,0.0,-0.0,0.0,5.409247682908971,0,60.357529357108504,9.209733521054372e-07,-1.9711992344232045,0.814700634425936,0.0009810283284519355,-60.16636452003055
96,0.0,-0.0,0.0,5.001582527694451,0,50.795121915917576,8.326985499956844e-06,-2.4683791857937174,0.8488398817286728,0.0032545327014211994,-49.750226796491845
97,0.0,-0.0,0.0,4.87708281674957,0,68.6102739588286,1.3771225953994517e-07,6.93125862296575,1.068056314867037,0.00017845039887439068,-74.96951316193146
98,-0.0,-0.0,0.0,4.556913379892544,0,55.231348268668384,2.998231572496558e-06,12.258761246770666,0.6830068935439643,0.0002883497712629484,-70.80155554254904
99,-0.0,0.0,0.0,1.810479341837015,0,64.85623629851446,3.2687098379697746e-07,-2.928756249275368,1.2810734557032493,0.0010261244362805096,-59.77599527364372
100,0.0,-0.0,0.0,5.550505379018639,0,66.03533662184788,2.4915312450707366e-07,1.8753830994894007,0.8819034771756734,0.00035471950430794233,-69.00226410705419
101,-0.0,0.0,0.0,2.3698594534120416,0,63.28736344779831,4.690980798051578e-07,2.308446294933659,1.3590132210627832,0.0007135644325782015,-62.931327578235205
102,0.0,-0.0,0.0,5.054416926249531,0,62.909517527140125,5.117386832144786e-07,22.21140917706715,1.3022071643334612,7.22160524968432e-05,-82.82649242248081
103,-0.0,0.0,0.0,1.926680593556765,0,65.8677836428545,2.5895341081271833e-07,-0.14562576572989963,1.0490372981014053,0.000542853991899679,-65.30632454714679
104,-0.0,-0.0,0.0,3.6332799876642348,0,62.79837483921176,5.250038836770076e-07,4.962956152451515,0.9212913559917604,0.00037699053517929905,-68.47336050552498
105,0.0,0.0,0.0,1.5481267927050921,0,63.23527946161829,4.747577400502748e-07,5.603379060041761,1.041564582464422,0.00037648985456255595,-68.48490380947888
106,-0.0,-0.0,0.0,3.258044389250751,0,68.1185008975578,1.542232710655321e-07,-12.866279972621422,1.1651415787525496,0.002012647204268247,-53.92464584109603
107,0.0,0.0,0.0,0.5515921778610866,0,66.43664523746075,2.2716189150242824e-07,-1.9175806640294744,0.8192355074326994,0.0004869176738843015,-66.25087090970072
108,0.0,-0.0,0.0,5.066137424631867,0,53.611230259058125,4.353885203923515e-06,7.9738688002115925,0.9107147807722167,0.0007588001921764916,-62.39744381310846
109,-0.0,0.0,0.0,2.7149618776435975,0,68.38325509912514,1.4510236469812505e-07,4.066539329796131,0.9621004979805868,0.00022947253745175822,-72.78530316584377
110,-0.0,0.0,0.0,1.8321282654041378,0,66.66886481768239,2.1533445139618196e-07,-4.701247256883953,0.8853177632241296,0.0007058595583418344,-63.025625282318856
111,-0.0,0.0,0.0,2.8066684977729848,0,67.70571975288317,1.6960085007913328e-07,0.6321346531766059,1.0988198653243086,0.00042075935629980557,-67.51929982835333
112,0.0,0.0,0.0,1.4398032579424627,0,65.33666718018281,2.926397263242622e-07,5.644400300062455,0.8652904609834982,0.00024440413089699494,-72.23775645432585
113,-0.0,-0.0,0.0,3.9277313105178924,0,65.09910901225425,3.0909294948692295e-07,-0.4490877137303434,0.8435172695824742,0.0004938475613439031,-66.12812392209234
