User_ID,x,y,theta_rad,distance_m,shadowing_dB,path_loss_dB,fading_rayleigh,h_linear,h_dB,h_normalized
64,2656.2306738567277,3046.1965628289217,0.8536778034838796,4041.642598267207,-4.5337867900913205,165.0188730032461,1.9434069024859222,1.0904859909488158e-08,-119.9994835852101,0.014379123913738634
65,3331.0170322825225,2558.3087874356343,0.6549384935582739,4200.073609024805,3.1479778183993963,173.28510245298978,1.4933855488569,3.2353168662447786e-09,-119.99995454143921,0.0042660815917006855
66,-4361.974237651121,-2390.472121435645,3.6429184950572027,4974.050282545716,-1.1188163949018262,171.5891726711253,1.2663988496362941,3.335123141159525e-09,-119.99995169349206,0.0043976859228227316
67,2618.5973491772743,1900.4082092900676,0.6277899093748264,3235.5221277338424,-4.7703653826794215,161.40082079115749,0.46339253868371766,3.9437374736674185e-09,-119.99993245442107,0.005200203421941992
68,2815.126388517635,-1507.0849354357904,5.791657287529373,3193.1554277776463,11.49251766089836,177.4633527802387,0.4007130122656875,5.366187044197627e-10,-119.99999874940738,0.0007075842247700937
69,-2823.935393422923,-2324.462024519789,3.8302781685433116,3657.5585859506496,-4.436840390310904,163.5979878776965,0.49590421339976964,3.27716572741206e-09,-119.99995335782566,0.004321263406539921
70,556.454540991511,-2480.526772651488,4.933064836524725,2542.175195778387,10.44537646245488,172.95070122899583,1.2831470332307322,2.888958895620974e-09,-119.99996375357115,0.00380937474544607
71,2215.6104747620507,4183.851183171977,1.0837794064220474,4734.294086641098,-14.747793961030288,157.20927223542503,1.3994633869829027,1.929736134314806e-08,-119.99838303984212,0.025445457554194275
72,-2034.0493001892646,-2164.469113517647,3.958044125836564,2970.232835818146,12.049034104172181,176.91983449833359,2.0079403306930588,2.8625895264363296e-09,-119.99996441223715,0.003774604154151888
73,-384.31418855840013,202.1597108493431,2.657340751724604,434.2418038581633,4.91377585254993,140.55751597771743,1.1691070090818705,1.0964238281844836e-07,-119.94810281533472,0.1445742010286894
74,4318.369182462912,-436.45864427449396,6.182457115863126,4340.369632209604,8.841030981705972,179.47759912312804,2.065442637784969,2.1934774900664953e-09,-119.99997910465095,0.002892314517880216
75,889.2996262491965,-2478.8098713460267,5.056847035926439,2633.5056870129342,2.737016778571593,165.77884897075052,0.6759105944740814,3.4749359593306155e-09,-119.99994755847653,0.004582042792502635
76,-2421.6368247683513,497.2300395771133,2.9390792285889997,2472.15748352163,-0.4731990919279218,161.60759863969722,2.134536032133892,1.773877227221509e-08,-119.99863364639015,0.02339030548735806
77,-4229.613623338471,-1165.0430400785874,3.410376291607446,4387.135362393774,1.0783189682776433,171.87778824896537,0.8367910579362327,2.131707524478172e-09,-119.999980264935,0.0028108647792578004
78,4395.129951386646,2278.6372133679333,0.47829521818147624,4950.692359632253,-1.8082696857989833,170.82817127779597,1.4694709354445483,4.224277468067402e-09,-119.99992250292522,0.00557012283179402
79,-4634.193304210866,-903.3062283712324,3.3341007874843744,4721.409717765138,2.69312201943991,174.60876422758997,0.9497273234932895,1.7666915074796224e-09,-119.99998644482665,0.0023295554747380116
80,3896.6989486814373,1594.4356029640323,0.38839158911582466,4210.283552048994,-6.115695378025571,164.05833478633582,1.6550619657313073,1.037283618187541e-08,-119.99953274281685,0.013677598615120478
81,-2863.439777973083,2496.418043913374,2.4245637835604343,3798.866990571638,23.665869707977937,192.27689585762656,1.3429777748778609,3.267563473500025e-10,-119.99999953630507,0.00043086018959842293
82,-64.3366164353727,4052.8582440119126,1.5866693747007505,4053.368863830391,3.156791518824719,172.75348904094568,0.5466734100847055,1.259080501871941e-09,-119.9999931152058,0.0016602207368144575
83,87.80251771760989,-3717.945266696432,4.736000463103655,3718.981888671677,-0.905533830712329,167.3824414600555,1.5976613442159542,6.829087140902183e-09,-119.99979746527555,0.009004819046901504
84,140.49850689922354,3037.3397792248297,1.5245721844630757,3040.5875690238636,9.047365463684685,174.27401158359407,0.5164477157360093,9.984487593828938e-10,-119.99999567052079,0.0013165523034544976
85,-4121.694006381852,-744.0023633541045,3.3201784564987378,4188.305265727485,9.888655169166942,179.98312971618682,0.41009791445027355,4.108952065632999e-10,-119.99999926675953,0.0005418055013796359
86,-4679.223751058588,936.8294909726359,2.94399474654846,4772.083864270079,11.309249020163783,183.38716444964206,0.3616985492320657,2.4489986421728766e-10,-119.9999997395278,0.00032292441381793336
87,668.5165026203861,965.6522649082342,0.9652600557066264,1174.4780163963032,-2.4296845635900883,148.3380197353294,1.9879454052247272,7.612082148187029e-08,-119.9749079561407,0.10037274514191953
88,-4401.476906183731,-149.75268156472936,3.1756028145214974,4404.0237080770285,14.718908855728472,185.5767796169466,1.1557498286427077,6.081698089200327e-10,-119.99999839367305,0.0008019313513094329
89,-4320.298392410075,53.6957633826832,3.1291645771206187,4320.632064231613,-0.7906067606684962,169.77668126282913,1.4707222538619635,4.771957869662701e-09,-119.99990110540232,0.006292292985746469
90,-1179.02827225527,-2399.4312572679614,4.2556625503711265,2673.4580649660015,8.761381906113604,172.03208314901136,1.5629636801242608,3.911512555571123e-09,-119.99993355375453,0.005157711716934985
91,-2525.706396682326,1660.452351372996,2.5600182589530744,3022.630446055576,3.2753798352671772,168.41198974768946,2.309505352422524,8.768382481386397e-09,-119.99966610755837,0.01156196955021937
92,2595.354746504412,-3933.8605378802463,5.295586098481525,4712.868021883749,-2.6826363973902745,169.20548140717145,1.5490282019469563,5.367663158074242e-09,-119.99987487371124,0.007077788648160807
93,3030.998573986458,-2592.74002716637,5.5755600632746685,3988.640520776297,0.0336572359110602,169.38566170246256,0.7271619386605422,2.4680164707164324e-09,-119.99997354674636,0.0032543210044084993
94,-2518.050998204559,1356.9140431951207,2.6473310243520487,2860.3839864918673,-4.966265915564194,159.33171898858782,0.9821233400737069,1.0606695048743145e-08,-119.99951143759105,0.013985964394500354
