User_ID,h_linear,h_dB
199,2.618719054389196e-08,-119.99702276402905
200,4.289275448801831e-09,-119.99992009974054
201,3.91374487820034e-09,-119.99993347789098
202,2.4323651411677447e-09,-119.9999743054765
203,4.323272633073626e-08,-119.99189031451502
204,2.3735077680454237e-09,-119.99997553391935
205,2.6519352011980243e-08,-119.99694678450507
206,5.537969548672711e-09,-119.9998668078043
207,3.929519898572823e-08,-119.99329917599204
208,8.088394776170836e-10,-119.99999715875391
209,3.361972322966219e-09,-119.99995091258926
210,1.7828156673271381e-09,-119.99998619626844
211,9.583749972849735e-09,-119.99960112637736
212,1.7797101275533336e-09,-119.99998624431674
213,1.0089134119664812e-09,-119.99999557929146
214,9.926602999417208e-10,-119.99999572057516
215,1.3205570356947814e-09,-119.99999242647158
216,6.08766276710474e-09,-119.99983905501956
217,2.425542032640071e-09,-119.99997444942701
218,3.478288991218935e-09,-119.99994745722468
219,6.741416314833391e-08,-119.98030746581682
220,1.054912421992241e-08,-119.99951672652386
221,6.584808112187073e-08,-119.98120982990584
222,8.276286547622447e-09,-119.99970253184814
223,1.1017958231788001e-09,-119.99999472786781
224,4.1708937269425763e-10,-119.99999924448599
225,6.7382378344058706e-09,-119.99980281806512
226,1.849995543124362e-10,-119.99999985136343
227,1.2229094434953733e-08,-119.99935055790314
228,1.177097671085693e-09,-119.9999939825982
229,1.5632454543233304e-08,-119.99893882844367
230,4.464209877005764e-10,-119.99999913448724
231,9.272790600850242e-09,-119.99962658948276
232,2.680083758895605e-08,-119.99688164813313
233,9.679364916766929e-09,-119.9995931281027
234,3.515687176815245e-09,-119.99994632128916
235,1.7977501744709555e-10,-119.99999985964011
236,9.415780383621414e-09,-119.99961498495449
237,3.967719987398738e-09,-119.99993163041822
238,5.008400807665953e-10,-119.99999891061245
239,3.313018677080916e-09,-119.99995233169643
240,7.114457190390216e-09,-119.99978018523464
241,5.0287838101113694e-09,-119.99989017410505
242,1.3764308454517923e-08,-119.99917728016544
243,1.2673782697816158e-09,-119.99999302416057
244,7.2392430573040545e-09,-119.9997724068178
245,3.7696143515812735e-09,-119.99993828722577
246,1.769825257219747e-09,-119.99998639669585
247,8.934651426250568e-08,-119.96546878701828
248,3.216718138413546e-09,-119.9999550625856
249,4.483707930367374e-10,-119.99999912691024
250,9.062164392076578e-10,-119.99999643345255
251,1.6368631573980644e-09,-119.99998836387235
252,8.916092829305239e-09,-119.99965476389173
253,9.781013961513344e-09,-119.99958453801125
254,4.137801209462948e-08,-119.99257062920509
255,5.14093240388482e-08,-119.98853709147062
256,1.9541043701582396e-09,-119.99998341639312
257,8.628653858513954e-09,-119.9996766638675
258,2.3500813516374456e-09,-119.99997601449292
259,4.523775224024841e-08,-119.99112144389811
260,5.5874885222578545e-09,-119.99986441525766
261,1.3187116811295938e-09,-119.99999244762336
262,1.938129916776977e-09,-119.9999836864204
263,4.83166704932093e-10,-119.99999898613937
264,1.2065204984244069e-09,-119.99999367801581
265,3.422219127117856e-09,-119.99994913753585
266,1.1817782281136514e-08,-119.99939350677236
267,3.1998040020974427e-09,-119.99995553392026
268,2.4709563810019272e-08,-119.99734916973074
269,2.9206350006854006e-09,-119.99996295436615
270,1.717523693459652e-09,-119.99998718881967
271,8.563449288354225e-09,-119.99968153196497
272,5.851695872619197e-10,-119.99999851287413
273,2.533284331010728e-08,-119.99721379628157
274,1.8702645197001586e-09,-119.99998480888604
275,3.6941714967539203e-09,-119.99994073265752
276,1.887696178650353e-08,-119.9984527120693
277,2.9208754147226775e-08,-119.99629639054511
278,7.199352559440164e-09,-119.99977490806195
279,7.241772958634298e-08,-119.97728368876152
280,2.865504805293397e-09,-119.99996433971495
281,7.239076787602935e-08,-119.97730055642813
282,2.9683099938180567e-09,-119.99996173507145
283,1.9100794922143163e-09,-119.9999841552131
284,1.3918335887385624e-07,-119.91667296590063
285,5.7189993676298174e-09,-119.99985795782747
286,7.908529912190705e-10,-119.99999728371273
287,3.971326630749907e-09,-119.9999315060673
288,5.524451041989986e-10,-119.99999867455259
289,3.2464635815044035e-09,-119.9999542276623
290,3.777384751185183e-09,-119.99993803254523
291,2.2009863421596736e-09,-119.99997896134585
292,5.031472867088812e-09,-119.99989005662005
293,9.524804333343582e-08,-119.9607776290835
294,1.8842395317227098e-09,-119.99998458101584
295,2.6312209480016352e-08,-119.99699427908949
296,1.1919609899846798e-08,-119.99938301082292
297,1.889327359836537e-09,-119.9999844976348
298,3.7765053081607015e-10,-119.9999993806096
299,1.2861680862288982e-09,-119.99999281578353
300,9.153339834129586e-09,-119.99963614755987
301,2.6829738739138923e-09,-119.99996873808085
302,9.9426292074557e-09,-119.9995706956067
303,9.201552121495648e-09,-119.99963230467564
304,8.883894145531537e-10,-119.99999657239402
305,9.48625007048673e-09,-119.99960920058108
306,7.889946689830077e-09,-119.99972965463284
307,1.599869500194432e-09,-119.99998888388903
308,1.3779943723135956e-08,-119.99917541017979
309,4.5238344550980215e-09,-119.99991112220421
310,1.482839233626155e-09,-119.99999045069048
311,4.654743089134198e-09,-119.99990590402686
312,9.639522512617385e-09,-119.99959647060288
313,1.0039551757861765e-09,-119.99999562263524
314,5.134418285658851e-09,-119.9998855117071
315,1.4800547699293015e-07,-119.90589211907853
316,1.5734791939924248e-09,-119.99998924759082
317,3.3998266586458014e-09,-119.999949800967
318,2.2537245830325505e-09,-119.99997794104716
319,9.091501467781508e-09,-119.99964104699791
320,1.4207399335633043e-08,-119.99912346419906
321,8.203611890204736e-09,-119.99970773291395
322,1.4101737755609214e-08,-119.99913645216196
323,2.0734190736240576e-09,-119.99998132943088
324,2.1070120832006158e-07,-119.81135216349725
325,8.959678007009065e-10,-119.99999651366639
326,3.184001556895595e-09,-119.99995597203093
327,1.2998667823807531e-08,-119.99926625472966
328,1.3955895364347507e-08,-119.99915421996181
329,1.0655644058567888e-08,-119.99950691809325
330,1.8392852049357272e-08,-119.99853104322612
331,1.6657322581118696e-09,-119.99998794980426
332,6.995467570487849e-09,-119.99978747639197
333,2.339556234464948e-09,-119.99997622885508
334,2.469000678884551e-09,-119.9999735256439
335,1.5665312279948183e-08,-119.99893436336652
336,2.951242689912125e-08,-119.99621901375876
337,6.559326345403198e-10,-119.99999813145874
338,4.076043285567561e-09,-119.99992784635451
339,1.4970868047812448e-09,-119.99999026630375
340,5.03913967336317e-09,-119.99988972131223
341,1.2622032698353139e-09,-119.99999308101216
342,2.7583544512934292e-08,-119.99669691848038
343,1.0367759004964238e-08,-119.9995332000957
344,3.2191489773368043e-09,-119.99995499464288
345,2.375643002703332e-07,-119.76156480285276
346,2.4699121580309176e-09,-119.99997350609331
347,6.569586451460433e-10,-119.9999981256086
348,2.8120450429876484e-08,-119.99656713122555
349,3.120403897744362e-09,-119.9999577132975
350,2.0166050619473962e-08,-119.99823421539922
351,2.724942498924865e-09,-119.99996775240108
352,5.719859245613914e-09,-119.99985791511156
353,1.1581744937507921e-08,-119.99941749027792
354,6.575609811468552e-08,-119.98126217611019
355,3.5644186987564923e-09,-119.99994482288628
356,2.3072244955090586e-08,-119.9976887418739
357,1.934432206177823e-09,-119.99998374860945
358,5.440870875745158e-09,-119.99987143737786
359,3.1598715552137794e-08,-119.99566582499311
360,3.708743141689299e-09,-119.999940264179
361,6.908365325480489e-11,-119.99999997927307
362,3.248661435427379e-09,-119.99995416566597
363,1.4802367188202507e-08,-119.99904852127317
364,1.7263204971536036e-08,-119.99870591602377
365,9.046014219189462e-09,-119.9996446297443
366,4.092993302312437e-09,-119.99992724501735
367,3.706581503195461e-09,-119.99994033379221
368,1.6914052076553764e-08,-119.99875772563644
369,2.9153797847572226e-09,-119.99996308756104
