User_ID,x,y,h_linear,h_dB,LOS
217,155.4734352263327,2466.0961135760595,2.7783740735608623e-09,-171.12105995937685,False
218,3738.775988312367,-819.0506697201934,4.715002247609115e-08,-146.5301777018376,False
219,-1781.957911863425,1831.9130744500148,2.42875027574809e-09,-172.28876719830316,False
220,2187.2561219666113,-596.3517980116054,9.109817222625591e-08,-140.80971138462405,False
221,2545.989066514721,-3991.326563607279,9.388883080704704e-08,-140.5476288710883,False
222,1522.4686925393332,-135.0386192649535,1.2074794085643513e-07,-138.3623333990608,False
223,-320.81372927009306,2262.6990185280038,3.6658284424703876e-08,-148.71632033108517,False
224,-4012.210126038436,1135.6470340212195,2.005856077461798e-07,-133.95396132422727,False
225,1900.792476124165,3785.486193366786,3.524949652487355e-08,-149.0566952265047,False
226,3647.217683433686,904.0955888955269,4.339697349414897e-09,-167.24880987668922,False
227,4405.008656102307,2067.0418046671116,7.535358667675947e-09,-162.4567688187255,False
228,4450.070522281209,2098.8956691650806,2.919620248236871e-09,-170.69049816430737,False
229,1025.2835634568216,3855.0793001638367,3.114581505010997e-08,-150.13172711934538,False
230,-741.3847660712021,3407.008287494319,2.369550254050447e-08,-152.506314969626,False
231,3060.2100754461903,-2326.0505629386143,2.211912682079404e-08,-153.10424774860073,False
232,-582.292861620151,3472.739846944425,1.554257863910447e-08,-156.1689797051806,False
233,4777.495891611869,-1354.9826378429043,5.0741487851275034e-09,-165.89102442548636,False
234,4595.827917952351,74.22816645700235,4.549946448142989e-09,-166.83796549779493,False
235,2333.160734723716,2982.740449593869,1.8382142689667445e-08,-154.71160483602745,False
236,-788.6353039811517,-4461.185249760432,2.960741136167632e-09,-170.56905805233168,False
237,4367.082629459469,1508.021790748051,3.0835669668215434e-08,-150.21865062981206,False
238,1272.485554280322,-2098.770051606033,6.2294257019079405e-06,-104.11103839797043,True
239,2437.8123923523067,156.22199040845427,1.9340174137191913e-07,-134.27074748672948,False
240,-276.36927452750496,4667.357898123809,1.0975823367886195e-08,-159.1904664826042,False
241,-347.7527236725644,-4463.259364184776,7.366398962830587e-10,-182.64311203792255,False
242,-815.3597248847717,2728.711960227789,6.960867756544774e-08,-143.14660755804704,False
243,-2720.885168753962,-2922.3699691487277,3.97282648789259e-08,-148.01778941471437,False
244,1353.771208539301,4213.870351902294,1.2355863846628697e-08,-158.1618347709109,False
245,-2148.776114339949,-3807.2587284857136,1.8355797872637406e-07,-134.7244873454066,False
246,1822.8066175310973,4576.504802979891,6.334894487074406e-09,-163.9638412750345,False
247,-2505.32017621236,3728.7226912832753,1.331712362615479e-08,-157.51113916128628,False
248,368.7730095248095,-2513.577153932258,2.4195619487927557e-08,-152.32490610211957,False
249,-4812.6772323565965,-1104.4102603219374,1.1931624697259623e-08,-158.46528037024413,False
250,780.6520038053181,3512.518061413663,5.393867775901017e-09,-165.3603839015501,False
251,1807.7399612389536,-345.0554181851712,7.136838205965606e-08,-142.92976126991772,False
252,-3489.1327685858914,-65.34698049863803,4.313990156389702e-08,-147.3022156639767,False
253,2912.9519691351716,-2513.7438440459296,3.761837479769832e-08,-148.4917685266782,False
254,-446.56038056920727,3549.4160044148252,1.2827726458910855e-09,-177.8302376464905,False
255,1366.5292249055456,2148.8928217195653,3.6445437869977465e-08,-148.76689822977863,False
256,4860.814556188513,-807.6963381556909,1.7332597042059958e-09,-175.21771733375672,False
257,70.14056043265244,-447.63398553493784,1.6595107790316282e-06,-115.60039321340182,False
258,1077.0230991206397,-3336.3932844901865,3.483300542384577e-08,-149.15993169747952,False
259,466.3242674629781,-2550.1877697829173,9.544350787660263e-08,-140.4049811395413,False
260,2527.5306743739966,-4197.210610145342,8.526185756325698e-09,-161.38388552473992,False
261,-1730.1322900271432,3585.9594224066373,2.244611775180617e-09,-172.97330646167114,False
262,3544.8467924744937,1908.3783718739753,4.1686732504508e-09,-167.5979595292353,False
263,3900.535984982865,-2433.225857621111,1.5894862037687636e-08,-155.9743183036354,False
264,-472.8857539295347,381.6271231107784,1.529651946137378e-06,-116.30814184998208,False
265,-204.0134763241073,939.2799303758225,2.506212379190337e-07,-132.0196079264511,False
266,2389.4296959847966,1378.0522805218716,1.355668941382854e-08,-157.35628638685492,False
267,2286.728867900331,-4294.200174552425,1.9068668136521324e-09,-174.38903892507923,False
268,-2149.482386633635,-3719.712433524463,3.729699228253262e-09,-168.5641952538404,False
269,1484.5428751844624,2077.835115631577,5.567745184576075e-09,-165.08485308326925,False
270,1550.619606494061,-787.1514331408396,5.903223071025751e-08,-144.57806897008615,False
271,-1975.6011845838555,2459.892018246666,7.278915406586742e-08,-142.75854722803817,False
272,-923.755063519671,3348.5469927781132,2.4557376234461e-09,-172.19282446318726,False
273,3583.4524938198983,-2322.00568777651,4.968387941338086e-09,-166.07394196403908,False
274,-658.3908344694731,1491.5241109892731,7.522159373200569e-08,-142.4730339170554,False
275,-2809.0855422515388,-3593.8283275934396,6.155506369053882e-08,-144.21458319335957,False
276,2848.0046075204477,-2919.2878675884217,2.1490417606423666e-08,-153.35469873685147,False
277,-413.9332104083734,2601.7474252807015,6.267321418534271e-08,-144.0582220511393,False
278,444.4130144299634,-1004.4144605550509,4.378234244788068e-07,-127.17400029069793,False
279,2775.241896480732,-1168.8254530352785,2.5814709215749046e-08,-151.7623187880815,False
280,3889.2284746627365,-42.70329066468428,1.1546960152903709e-08,-158.74989446708352,False
281,3262.892453918165,-2342.9140408233543,4.551154307896874e-09,-166.8356604949474,False
282,768.0866317633232,2051.8891380193804,1.3035051290344627e-07,-137.69767847797513,False
283,-3039.6655177049965,3628.204590754467,2.3788694821831074e-08,-152.4722225825795,False
284,4434.343667108458,1265.5709361972858,3.5548779297281084e-08,-148.9832618228871,False
285,4116.8515429778045,1307.624935748389,3.3189729528548644e-09,-169.5773090878092,False
286,1563.3511673561213,-1436.2385709410817,3.4129041233472784e-08,-149.33726374075076,False
287,-1914.2718017206957,-950.7525569189045,1.4767634408544133e-07,-136.61372253700915,False
288,1227.8600894723543,3812.8774012712856,1.3520755084196375e-09,-177.3735593381885,False
289,-4051.392410201269,904.9472637879093,7.244656426400296e-09,-162.79844526265697,False
290,-3176.856701051102,1665.8977757860955,1.6585236214647425e-08,-155.60504307717184,False
291,4000.4454965041505,-1964.1178826727826,1.3769311179477995e-08,-157.22112491018007,False
292,3826.3917877573454,728.597954565203,1.4493718038819561e-08,-156.77580456840911,False
293,1688.5679710530264,-4080.8319823611764,1.1388317750401896e-09,-178.8631848077058,False
294,1630.0576767264563,-1112.299013330753,1.0184457152593247e-07,-139.84115700704444,False
